Ulasan,Label
"TLDR: Great phone, looks new. Pay attention to who the seller is when you make your choice - the seller changes when you choose a different color. I bought from BuySPRY.

All good so far. I was incredibly hesitant to buy a refurbished phone on Amazon after reading so many negative reviews on various products. I spent a lot of time researching my options and figured this one was probably my safest bet. Phone came in perfect condition (seriously, it looks brand new) and so far all the functions seem great. Set up was easy, unlocked, ready to set my fingerprint and everything. It's fast, sleek, and beautiful. Camera and audio are also great.

What I learned: who the seller is is very important.
Although all the phones on here are iPhone 6S 64GB, when you select a different color, the seller changes. When you scroll down and look at the section ""Compare to similar items"", you will see who the phone is sold by. Looking at the reviews, most of the negative reviews seemed to be associated with the Space Gray more than the other colors. I then looked rating of each seller for each color of the iPhone 6S 64GB and went from there.

As of the time of this review, the Space Gray is listed as ""Item Under Review"" because of the customer feedback.",Positif
"Poor quality control. It was wiped, but was still registered to the prior owner. I contacted the seller (Breed), and they would not replace for another unit. I would not trust this seller.",Negatif
"Worst experience I've had on Amazon, through the seller ELECTRONIC DEALS..
Upon receiving the phone and inspecting it, I noticed small pieces of rubber protruding out of the edges of the phone, as if the phone had been forced together pinching off the excess rubber that was packed inside. I also notice a clouding of the camera lens as well as the yellowing of the flash. The cosmetic look of the phone did not bother me too much as long as it did not affect any of the phones functions, however I was mistake; the phone functioned horribly as well.
After using the phone in noticed a number of problems:
- the sensitivity of the touchscreen was off, i would try to backspace and it would sense i was pressing 'g', which was no where near each other.
- the phone would randomly start opening apps after apps without even touching the phone, and would constantly tap in the corners or the middle of the screen for a couple of minutes randomly. example: i would be texting, then suddenly the phone would start spamming 'fffffffffffffffffffffffffffffffff' for a short period of time. the click on the persons contact, and open other screens, even calling sometimes. The most frustrating instance was when i opened my GPS, it would constantly change my route, or even choose another location. It was a constant fight of inputting the correct location into the map multiple time throughout my drive. It was a very dangerous experience that could possible have cause serious injury on the road...
- the screen would constantly be unresponsive, causing me to lock the phone, then unlocking the phone. Repeating each time
- the camera would not focus on anything in close proximity, and words on a document.

I've never been so disappointed in an Amazon purchase before. Quality Control is crap",Negatif
"The product was defective and I wish I had chosen another retailer. It's not too late for you.

1. DEFECTIVE BATTERY - The phone was defective the day it arrived. The battery does not hold a charge consistently or indicate how long it will actually last. This defect is sporadic—so sometimes it works and sometimes it doesn't. I thought I was doing something wrong at first so, after a few weeks of frustration, I did a test to see: tracking how long I charged and how long it lasted. This confirmed it was not my fault or a defective charger and that the phone I purchased from Electonic Deals was the problem.

2. QUESTIONABLE SECURITY - Since the day it arrived, I've had someone trying 'access the phone' remotely who is not me. I have never experienced this when I purchased a new phone or one from a credible phone reseller.

3. DEFECTIVE CAMERA - The camera stopped working entirely with no clear cause as I did not drop or damage it in any way prior to this malfunction (however, to be honest, I did scratch it in the corner but this was ironically just last week).

All these problems lead to some unfortunate experiences. An unreliable phone can leave you stranded in dangerous situations: Once I charged the phone all day at work, and left late at night so I called a cab. The Electonic Deals phone died by the time I was outside, leaving me locked out and stranded. The cab never came and I had to walk through the city by myself at midnight. It can also risk your job: I had a 100% charge before going to bed so I did not plug it in to charge (reasonable) and it died before the morning so my alarm did not ring. I was late to work several times because of this and ended up buying an old alarm clock.

Why didn't I send it back immediately?
- Initially, I was not sure the battery issue was a defect. I tend to trust sellers and waited to verify this before accusing Electronic Deals of making a bad sale.
- The requests to access my info made me not trust sending it back. Maybe it was Electonic Deals and, if I sent the phone back, I would be at risk of identity theft. I still don't trust this and will bring it to a techy friend to clear my data...
- A cell phone is no small purchase. The time between returning it, receiving my money back, and purchasing a new one would leave me disconnected and out 1K.
- Once I did confirm this, I had come up with a system: use it only when needed, carry an external battery and always have it plugged in when at work, home and near a power source. Ignore the requests from the mysterious person and hope for the best. Once the camera died, it was very doomed and clear I had been swindled by Electonic Deal.

Note: After many emails, the company eventually said I could return the phone— however, they included terms that essentially negated the offer to take it back. Maybe the return terms were a mistake and they will send me my money back in full. However, I've received no gestures of good faith or indication that they sell working products or do fair business. I may have to take the $500 loss because it was my choice to test instead of returning immediately. So my advice is to pick another seller and, if you run into ANY issue, RETURN THE ELECTRONIC DEALS PRODUCT IMMEDIATELY. Rate them 1 star.

As of this point, I do not trust them and don't think you should either.

Also, if you have suggestions for another more credible retailer please share it with me in the comments so I can find a new working phone!",Negatif
"7/6/17
Just received my phone today! As far so good! Attached are the pictures of what I received in my package, only thing not pictured was the metal tool to pop out the SIM card tray. Overall very pleased with what I received!",Positif
"So I purchased two phones from these guys, noting mostly positive reviews from their previous customers. Both arrived in really good shape and appeared to work properly. However, while one of them has had no issues, the other one has had intermittent reception issues and now will not hold a charge. Clearly the device has some problems and now needs a new battery. I purchased these less than 6 months ago and got Square Trade warranties, which unfortunately do not cover battery replacement. The seller only offers a very conditional 90 day warranty. The moral of this story? Sometimes you get a good phone and sometimes you get a piece of junk. Buyers beware!",Negatif
You're probably reading comments all paranoid like I did. Lol. This is a positive review. I LOVE IT. Looks brand new. Works fast and great. If you have any questions about my experience you can contact me at my Instagram @abenaasf,Positif
"This will be the 3rd iPhone 6s I have had to return for being defective! I am so sick of starting over with a new phone. Every iPhone was sold through Electronic Deals and this crap is unacceptable. I continue to purchase the same phone through the same vendor because i love the iPhone, it is priced reasonably and they are the lowest cost but this is not an option! I feel as though I should get some compensation for ALL my time and troubles! This iPhone is by far the worst yet, it freezes up and won’t open links it gets stuck on a letter or number and then won’t type it at all!!! Please make this next transction worth my while, say half price or better yet a complimentary iPhone wouldn’t hurt",Negatif
"1/20/17 UPDATE We took the phone to the apple store. It needed a software update. The phone works just fine. Customer service should suggest taking it to the apple store.) NOTE: Local repair shop wouldn't touch it. FIrst apple store wouldn't touch it because it is refurbished. Second apple store knew exactly what to do regardless of the fact it was refurbished.)

I purchased a the phone in July of 2017. 6 months later it doesn't turn on. I have taken good care of the phone. This was Breed's response. I was not looking for a return or refund and wanted them to replace the phone. A phone should last more than 6 months!

""We provide a warranty of 30 days to return an item for a refund or replacement. Unfortunately we are not able to authorize a return for your order since your warranty period has expired. We recommend taking the device to a local repair center...""",Negatif
"The device is not unlocked for international use, it is unlocked for only US network carriers, i had to pay $70 to get it working in My home country. overall the phone is awesome, its new and does not have any wear or scratches on it",Positif
