Ulasan,Label
"Keeps dropping wifi don't know if this is a common issue, the box was not sealed. Having trouble making and receiving calls.",Negatif
After I spent an entire day transferring and setting up the phone I realized the next day there is no wifi calling.. samsung s9s have wifi calling and this unlocked phone does not.. nice phone but have to have wifi calling. Its also a feature you pay for.,Positif
"El tel�fono no es original,sonido se escucha con lluvia,muy mala experiencia,The phone is not original, sound is heard with rain, very bad experience.",Negatif
"Phone frequently starts talking out loud (even if in your pocket or bag) because the dedicated had button pushes up against something. You can follow on-line instructions to disable the voice talking, but every time the phone auto-updates the operating system (which is forced upon you), the ""Bixby voice assistant"" is reverted to default mode. So, phone starts talking out loud at random times again.

Do EVERYTHING you can do to avoid this phone. Do NOT buy any phone with ""Bixby"" associated with it. Samsung thinks it's smarter than you, so they took away your ability to disable the voice thing permanently, and they made it impossible to re-purpose the additional button for anything. Total garbage.",Negatif
"Very disappointed. Purchased from Amazon Warehouse and apparently the phone was not inspected as the device was locked for use. Also, I noticed an abnormal battery drain and that's only on wifi; imagine how much worse the battery would be with a sim card and data signal. I'm giving another 3rd party a chance,
and honestly I'm not really optimistic . Amazon provided me a courtesy credit which was nice; however, there's no real way of knowing if the seller is blacklisted.",Negatif
Es bueno y c�modo,Negatif
"I bought this phone thinking that it would be better than my current S6 Edge - and just about in every way it is specially low light shots, but disappointed with the picture AI results in general. I normally use my phone as a camera, less so as a computer or streaming device.

Sure wide shots look indiscernible, but once you want to see some details the S9+ images become murky at 100% zoom as the Auto settings normally changes to F1.5 (no you cannot force it to use F2.4 in auto mode - which most users use) Fonts looks blotchy upon closer inspection. Yes I understand you can set it to Pro mode so you can do this, but most times I use my phone to take pictures within 3 secs, no time for fiddling with settings.

The S6 has a 16M native resolution at 4x3, so setting it to 16x9 reduces resolution to 12M.
The 9+ has a 12M native resolution at 4x3, so setting it to 16x9 reduces resolution to 9M.
Quite possible this may be causing it, but I read the Pixel has the same resolution but takes better photos because of the AI implementation.
I normally shoot at 16x9 size settings so it fills my monitor screen and FB uploads, and this is how I compared the shots.
Aside from the uploaded picture, I have also compared outside scenes on both phones - and I do notice slightly murkier pictures with the S9+.

In the DLSR world, sometimes you get bad lens so the logical thing is to replace the lens for a sharper one, but not everyone has this luxury with a phone specially if you are at a mobile carrier store with strict use limits. I did a little research and found forums where people complain of the image quality as well, so I don't think I'm in the minority.",Negatif
"My three stars has more to do with Amazon's screw up than the phone itself.

WHEN YOU GET YOUR PHONE, CHECK THE MODEL NUMBER !!!
SHOULD BE SM-G960U1.

I ordered the US unlocked Galaxy S9 (model number SM-G960U1), BUT Amazon sent me a Chinese unlocked phone (model number SM-G9600). Although they look the same, the Chinese phone only sort of works (dropped calls, poor sound quality, incoming calls go straight to voice mail), does NOT have a US warranty (all support comes out of China), and critical features your carrier offers will be disabled (such as T-Mobile's Wifi Calling).

It took me over a month to figure out why my wonderful Galaxy S9 was a piece of crap. And neither Amazon nor Samsung were of much help in discovering the source of my problem. It wasn't until I tried to register my phone with Samsung's U.S. website and failed that I got a clue.

After much to do, Amazon replaced my Chinese phone with the correct one. Like magic everything appears to be working fine including Wifi Calling.",Positif
"The phone was an AT&T phone. My carrier tried everything but was unable to unlock it. After waiting for >3 weeks to get the phone,I had to return it. Wasted > 1 month of my time. Most aggravating. Just tell the truth!",Negatif
Sadly this phone DID NOT work with verizon but the folks at the store said AT&T may be able to unlock it. So I went there and they found out it still had a PAYMENT DUE on it from a previous owner!! So obviously it's not new. And not able to be unlocked for my use. Unusable. Sent it back. :(,Negatif
