Ulasan,Label 
"Love this phone out of the box. This was a replacement for my original samsung note. The note was very very reliable and it serve me very well but i have broke the sim card holder..did try to have fix but it only lasted amonth.
So i found this j7 when i visit the philippines and most of my relative uses this phone. I almost bought one out there for 13k pesos.
I search right in amazon and there it is...i keep searching and found this j7 prime...
Ok. First out the box experience was smooth without any problem.turn on the phone as suppose to and connect to wifi rigth away again with no issues. Of couse after all the right setting was set.
This phone have two sim cards holder....sim1 and sim2 with the sd cad. Sim1 have a dedicated slot and sim2 is together with your sd...external storage....expandable to 256...huh
Im very impressed how fast the phone is...wifi handle very well...already tried alot of hot spot. Take pictures and video very good. Use this phone alot in facebook messenger...very happy.
I bough this phone mainly for my relative in the philippinez....all us are well connected now.
Not to mention my new friend .... we get connected too by this phone.
Love it....even though this not the s7 or s8..but they are close. No iphone for me by the way.
For pinoy user... i reccomrnd this pon.
I will update my rrview later... So far stil love the pon.
Update: 6/03/17
Still working and loving this phone. Discover alot of features on the phone that reslly work.. Finger print scanner works very good.. Use it to open w/0 pushing the side button.. Just the touching the home button... Not pushing it.. Phone will open.
Update: 6/10/17.
Added pivtures with new cover and glass protector. So far phone still works as expected. THinking
Of adding another star.",Positif
"The phone looks as advertised and come with a charger (110V), a key to open the slots and headphones.

HOWEVER, within a few days of using it, the screen has started freezing when tapping on it. It started with the camera app while taking phones. You keep touching the screen but the phone does not respond. Sometimes it takes more than a minute and I have to close the camera and reopen it. It has now started happening in other apps. I find this very strange since I have had the phone about 2 weeks now if so much...

It uses the micro sim cards and has two slots and a space for adding more storage space. The photo quality is very good, both front and back and it has a built in flashlight app. A+ for me. One less app to download.

Feel free to ask me any questions... I'm considering returning it for a replacement however.",Positif
"My review is not based on incidents that I could have corrected. If I could have corrected it I would have rated it higher. Nor is based on shipping or postal defects such as a cracked screen or anything like that. It is neither based on me expecting this device to be exceptional above all else. It is purely factual in every regard. Okay let me start off by saying: the product came as displayed. So that's a pro.

Con's
1. I think there were some glitches with the programming because the left side of the screen kept doing it's own thing. Like if I'm typing. The left side would start selecting random letters and all sort of things.
Still on glitches the screen would stop working and start showing black and white. So I had to turn off the screen and turn it on back.
The keyboard would stop working also. Like I would be typing then the keys would stop pressing and the keyboard would be minimized. Like?? no.
2. The fingerprint sensor did not work like how it should have. I had to set my hand vertically on the sensor. It did not work if I had my finger horizontally (parallel to the phone screen).
3. The brightness control did not work. My phone was stuck in the brightest level. Even when the phone was in macimum power save mode. It did not work. Which defeated the purpose.
4. I had to download the basic Samsung Applications my self.
5. The operating system looked like that of the older samsung models (like my old S4) which was a bummer.

I had to pay for someone to fix all of these issues. (I tried factory resetting and that didn't work)",Negatif
"(THIS IS A SAMSUNG J7 PRIME 2017. BY SAMSUNG. THIS WILL *NOT* WORK WITH CERTAIN CELLPHONE CASES THAT SAY 2015. THERE NEEDS TO BE CLEARER DESCRIPTIONS FOR THIS AD INDICATING WHICH CASES IT WILL AND WONT WORK WITH. PUTTING WHAT YEAR THIS CELL PHONE IS, WOULD BE A GREAT START FOLKS.)

I am upgrading from a junk Kyocera hydro phone I bought on clearance from Walmart two years ago, on Black Friday.

Right away, from the getgo, this phone is amazing, Long battery life, super fast cellphone cpu, a lot of memory, and no lag or response times so far. It responds quickly, no freeze screens, power on / off / restart works fine, and I even put in a 16 gb micro sd card from my Kyocera that it recognized right away. It is also unlocked, which is nice too. I plan on traveling with it and getting a sim card from ATT up north without having to worry if it will be able to be used by that carrier or not.

If youre looking for an upgrade and having phone frustrations with an older android phone, don't hesitate, don't be the old me, upgrade. get this phone.
I stuck with a junker phone for a year and a half, hoping my phone would get better if i kept cleaning it off. All I was doing was delaying the inevitable. This Samsung J7 Prime phone is durable [Frame made out of METAL], sturdy, and amazing. and as a guy with really, big hands and not very dexterous, this phone is very easy to use for people like me. As my huge fingers and hands hit the wrong keys frequently on other phones and apps on them. This phone also comes with a 1 year warranty on select parts in the phone for manufacturer defects (6 months on certain parts from manufacturer defects also, read the manual.)
......ps (Just don't drop it....... unless you have insurance through squaretrade)

Google Apps with Android, has a cloud (storage) service. I was able to take all of the useful/borderline necessary apps/save data/etc off my old Kyocera phone, put them on the cloud, and move them over to this phone (samsung j7 prime). It took a bit of time to figure my way around, but I did it.

Cons: The only annoying part of this phone, is that to get the sim card doors open (*there are two doors. one door holds just a sim card. the other one, holds a sim card, and a micro sd card*), you have to use the tool provided. It looks like something wal mart would stick in your items in the packages, to keep you from walking out the store without paying.
Now, how samsung expects us to lug this around in my pocket without bending, breaking, or losing the flimsy thing is beyond me. But in all their wisdom, they made the doors like this. They're not the kind on some phones you'd expect where you stick your fingernail in and pop the door out. thats the only major inconvenience, right off the bat, i see with this phone. For that, I will give this review a 4 star review.

this review was made on 11/17/2017 and I will update through constant use any flaws or defects if I find any.",Positif
Great phone works well in Babados. I strongly recommend this phone to anyone purchasing a phone to use in the Caribbean,Positif
"Works great! No problems with phone. International version doesn't display 4G ... However, it does display H+ which is equivalent to 4G.",Positif
"The phone itself works normally but the reason im giving it 4 stars is because the description says itz 4g LTE compatible, i live in the U.S. and took it to different places trying to activate the 4g lte option on the phone, but the phone itself doesn't have the 4g LTE option. I've seen reviews from people from other countries and they say it works perfectly fine for them , so my advice is if you live in the U.S. and want 4g LTE dont buy it , its not worth the trouble. And i gave it four stars because i asked to return the item the process was smooth and simple even though they didn't refund the total price i payed including shipping and handling it was still good knowing i could get some of my money back.(update) i received the full refund including the shipping ans handling.",Positif
"I upgraded from my LG G3 Stylus D690 which after 2 years of use was freezing all the time and processing very slow even though I constantly cleaned unnecessary files, etc.

Determined to have a new unlocked phone with larger processor, more internal memory and dual SIM with a budget of $200 or less; I found this one at $239 with everything I was looking for>>>32 Gb memory, Octa-core processor and descent camera (8 megapixel front facing & 13 back facing).

So far, after more than a month's constant usage, it has been running LIGHTNING FAST & PURRRFECTLY!!

I am so happy with this purchase...What's more, I didn't have to pay for it, my boyfriend did as a birthday gift!! Even if I had, I'd consider this a great buy!!

Love the pink gold color back and the fact that it is all metal body, Corning glass screen and very sturdy...have actually dropped it a few times (in its wallet case) and produced no cracks, scratches or dents!

I wish I could add photos, but at this time I have no other available camera besides the one on the phone, itself! However, it looks just like the photos provided in descriptions!",Positif
"I was nervous about paying this much for a phone. In general, I'm a $20 phone girl. I don't need a phone with a ton of space or the best camera, I just need a phone that sends texts, makes calls and has enough room for an app or two. But, this was an anniversary gift from my husband and he really wanted me to have a ""good"" phone. I've had it for a few months now and I'm as happy as can be with it. I haven't taken many photos, but the ones I have taken are lovely. It runs all the apps my old phone did, and many more, with room to spare. I haven't had any issues with it at all.",Positif
"This phone was advertised as UNLOCKED. However, we had to seek assistance from our carrier to set it up. Our carrier advised us that it was NOT UNLOCKED and that is the reason we could not complete the set up process - the phone cannot be used with any carrier.

Amazon tech support could not assist and this Christmas present must be returned and a different phone must be purchased. EXTREME DISAPPOINTMENT!",Negatif
